angle,diff_y
-39,13.0
-40,16.0
-38,47.0
-41,66.0
-37,80.0
-42,91.0
-43,126.0
-36,130.0
-35,153.0
-44,161.0
-45,191.0
-5,197.0
-34,201.0
-4,219.0
-55,220.0
-33,227.0
-3,229.0
-46,231.0
-47,237.0
-2,248.0
-54,251.0
-53,255.0
-1,264.0
-52,278.0
-48,278.0
-51,284.0
-50,301.0
-49,320.0
-32,457.0
-6,1000000.0
-7,1000000.0
-8,1000000.0
-9,1000000.0
-10,1000000.0
-11,1000000.0
-12,1000000.0
-13,1000000.0
-14,1000000.0
-15,1000000.0
-17,1000000.0
-18,1000000.0
-19,1000000.0
-20,1000000.0
-21,1000000.0
-22,1000000.0
-23,1000000.0
-24,1000000.0
-25,1000000.0
-26,1000000.0
-27,1000000.0
-29,1000000.0
-30,1000000.0
-31,1000000.0
-16,1000000.0
-28,1000000.0
